"Reference","Description","Qty","Comment","MPN","LCSC PN"
"C101, C102","Unpolarized capacitor","2","","CL10A475KP8NNNC","C1705"
"C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C115, C203, C303, C403, C503, C603","","16","","CL05B104KO5NNNC","C1525"
"C113, C114","","2","","CL05A105KA5NQNC","C52923"
"C116, C117","","2","","CC0402FRNPO9BN270","C277506"
"C201, C301, C401, C501, C601","Unpolarized capacitor","5","","CL21A475KBQNNNE","C98192"
"C202, C302, C402, C502, C602","Unpolarized capacitor","5","","GRM31CR71H475KA12L","C77096"
"D201, D301, D401, D501, D601","Schottky diode, filled shape","5","","1N5819HW-7-F","C82544"
"F101","Resettable fuse, polymeric positive temperature coefficient","1","","NANOSMDC050F/13.2-2","C2649911"
"J101","4-pin JST XH connector","1","","B4B-XH-A","C594232"
"L201, L301, L401, L501, L601","Inductor","5","","VLS252012HBX-100M-1","C88532"
"R101, R107","","2","","RC0402FR-0710KL","C60490"
"R102, R103, R106","","3","","RC0402FR-071KL","C106235"
"R104, R105","","2","","RC0402FR-0727RL","C138021"
"R201, R301, R401, R501, R601","Resistor, US symbol","5","","RC0402FR-0710RL","C138066"
"SW101, SW102","","2","","PTS636 SL43 SMTR LFS","C2800576"
"U101","500mA Low Dropout Voltage Regulator, Fixed Output, SOT-23-5","1","","WL9005S5-33","C2688249"
"U102","2-channel high-speed ESD protection diodes","1","","CM1213A-02SR","C19268160"
"U103","","1","","RP2040","C2040"
"U104","","1","","W25Q40CLSNIG","C2641149"
"U201, U301, U401, U501, U601","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","5","","RT4526","C425168"
"Y101","","1","","ABLS-12.000MHZ-B4-T","C596818"
