"Reference","Description","Qty","Comment","MPN","LCSC PN"
"C101","Unpolarized capacitor","1","","CL10A475KP8NNNC","C1705"
"C102","Unpolarized capacitor","1","","CL10A475KP8NNNC","C1705"
"C103","","1","","CL05B104KO5NNNC","C1525"
"C104","","1","","CL05B104KO5NNNC","C1525"
"C105","","1","","CL05B104KO5NNNC","C1525"
"C106","","1","","CL05B104KO5NNNC","C1525"
"C107","","1","","CL05B104KO5NNNC","C1525"
"C108","","1","","CL05B104KO5NNNC","C1525"
"C109","","1","","CL05B104KO5NNNC","C1525"
"C110","","1","","CL05B104KO5NNNC","C1525"
"C111","","1","","CL05B104KO5NNNC","C1525"
"C112","","1","","CL05B104KO5NNNC","C1525"
"C113","","1","","CL05A105KA5NQNC","C52923"
"C114","","1","","CL05A105KA5NQNC","C52923"
"C115","","1","","CL05B104KO5NNNC","C1525"
"C116","","1","","CC0402FRNPO9BN270","C277506"
"C117","","1","","CC0402FRNPO9BN270","C277506"
"C201","Unpolarized capacitor","1","","CL21A475KBQNNNE","C98192"
"C202","Unpolarized capacitor","1","","GRM31CR71H475KA12L","C77096"
"C203","","1","","CL05B104KO5NNNC","C1525"
"C301","Unpolarized capacitor","1","","CL21A475KBQNNNE","C98192"
"C302","Unpolarized capacitor","1","","GRM31CR71H475KA12L","C77096"
"C303","","1","","CL05B104KO5NNNC","C1525"
"C401","Unpolarized capacitor","1","","CL21A475KBQNNNE","C98192"
"C402","Unpolarized capacitor","1","","GRM31CR71H475KA12L","C77096"
"C403","","1","","CL05B104KO5NNNC","C1525"
"C501","Unpolarized capacitor","1","","CL21A475KBQNNNE","C98192"
"C502","Unpolarized capacitor","1","","GRM31CR71H475KA12L","C77096"
"C503","","1","","CL05B104KO5NNNC","C1525"
"C601","Unpolarized capacitor","1","","CL21A475KBQNNNE","C98192"
"C602","Unpolarized capacitor","1","","GRM31CR71H475KA12L","C77096"
"C603","","1","","CL05B104KO5NNNC","C1525"
"D201","Schottky diode, filled shape","1","","1N5819HW-7-F","C82544"
"D301","Schottky diode, filled shape","1","","1N5819HW-7-F","C82544"
"D401","Schottky diode, filled shape","1","","1N5819HW-7-F","C82544"
"D501","Schottky diode, filled shape","1","","1N5819HW-7-F","C82544"
"D601","Schottky diode, filled shape","1","","1N5819HW-7-F","C82544"
"F101","Resettable fuse, polymeric positive temperature coefficient","1","","NANOSMDC050F/13.2-2","C2649911"
"J101","4-pin JST XH connector","1","","B4B-XH-A","C594232"
"L201","Inductor","1","","VLS252012HBX-100M-1","C88532"
"L301","Inductor","1","","VLS252012HBX-100M-1","C88532"
"L401","Inductor","1","","VLS252012HBX-100M-1","C88532"
"L501","Inductor","1","","VLS252012HBX-100M-1","C88532"
"L601","Inductor","1","","VLS252012HBX-100M-1","C88532"
"R101","","1","","RC0402FR-0710KL","C60490"
"R102","","1","","RC0402FR-071KL","C106235"
"R103","","1","","RC0402FR-071KL","C106235"
"R104","","1","","RC0402FR-0727RL","C138021"
"R105","","1","","RC0402FR-0727RL","C138021"
"R106","","1","","RC0402FR-071KL","C106235"
"R107","","1","","RC0402FR-0710KL","C60490"
"R201","Resistor, US symbol","1","","RC0402FR-0710RL","C138066"
"R301","Resistor, US symbol","1","","RC0402FR-0710RL","C138066"
"R401","Resistor, US symbol","1","","RC0402FR-0710RL","C138066"
"R501","Resistor, US symbol","1","","RC0402FR-0710RL","C138066"
"R601","Resistor, US symbol","1","","RC0402FR-0710RL","C138066"
"SW101","","1","","PTS636 SL43 SMTR LFS","C2800576"
"SW102","","1","","PTS636 SL43 SMTR LFS","C2800576"
"U101","500mA Low Dropout Voltage Regulator, Fixed Output, SOT-23-5","1","","WL9005S5-33","C2688249"
"U102","2-channel high-speed ESD protection diodes","1","","CM1213A-02SR","C19268160"
"U103","","1","","RP2040","C2040"
"U104","","1","","W25Q40CLSNIG","C2641149"
"U201","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","1","","RT4526","C425168"
"U301","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","1","","RT4526","C425168"
"U401","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","1","","RT4526","C425168"
"U501","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","1","","RT4526","C425168"
"U601","1MHz LED Boost Driver, 2.5..5.5Vin, <35Vout, TSOT-23-6","1","","RT4526","C425168"
"Y101","","1","","ABLS-12.000MHZ-B4-T","C596818"
