Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C101","4.7uF","C_0603_1608Metric",148.937501,-94.350000,180.000000,top
"C102","4.7uF","C_0603_1608Metric",151.375000,-97.600000,90.000000,top
"C103","100nF","C_0402_1005Metric",167.600000,-86.637500,0.000000,top
"C104","100nF","C_0402_1005Metric",156.550000,-88.750000,180.000000,top
"C105","100nF","C_0402_1005Metric",159.200000,-83.075000,180.000000,top
"C106","100nF","C_0402_1005Metric",162.940000,-92.410000,180.000000,top
"C107","100nF","C_0402_1005Metric",162.725000,-82.950000,180.000000,top
"C108","100nF","C_0402_1005Metric",167.600000,-87.875000,0.000000,top
"C109","100nF","C_0402_1005Metric",156.970000,-86.900000,180.000000,top
"C110","100nF","C_0402_1005Metric",156.970000,-87.825000,180.000000,top
"C111","100nF","C_0402_1005Metric",160.310000,-92.410000,0.000000,top
"C112","100nF","C_0402_1005Metric",167.600000,-84.725000,0.000000,top
"C113","1uF","C_0402_1005Metric",156.975000,-85.475000,180.000000,top
"C114","1uF","C_0402_1005Metric",156.975000,-84.550000,180.000000,top
"C115","100nF","C_0402_1005Metric",152.775000,-93.900000,-90.000000,top
"C116","27pF","C_0402_1005Metric",165.400000,-92.410000,180.000000,top
"C117","27pF","C_0402_1005Metric",169.299999,-92.400000,0.000000,top
"C201","4.7uF","C_0805_2012Metric",132.650000,-90.725000,0.000000,top
"C202","4.7uF","C_1206_3216Metric",137.900000,-84.811252,-90.000000,top
"C203","100nF","C_0402_1005Metric",139.350000,-88.361252,-90.000000,top
"C301","4.7uF","C_0805_2012Metric",139.650000,-80.675000,90.000000,top
"C302","4.7uF","C_1206_3216Metric",132.800000,-76.300000,0.000000,top
"C303","100nF","C_0402_1005Metric",136.250001,-74.962499,0.000000,top
"C401","4.7uF","C_0805_2012Metric",146.500000,-81.700000,90.000000,top
"C402","4.7uF","C_1206_3216Metric",141.375001,-76.300000,0.000000,top
"C403","100nF","C_0402_1005Metric",144.825002,-74.962499,0.000000,top
"C501","4.7uF","C_0805_2012Metric",156.625000,-80.675000,90.000000,top
"C502","4.7uF","C_1206_3216Metric",149.825000,-76.300000,0.000000,top
"C503","100nF","C_0402_1005Metric",153.275001,-74.962499,0.000000,top
"C601","4.7uF","C_0805_2012Metric",163.999999,-78.850000,90.000000,top
"C602","4.7uF","C_1206_3216Metric",158.899999,-73.450000,0.000000,top
"C603","100nF","C_0402_1005Metric",162.350002,-72.112499,0.000000,top
"D201","1N5819HW-7-F","D_SOD-123",135.600000,-84.811252,-90.000000,top
"D301","1N5819HW-7-F","D_SOD-123",133.200000,-80.000000,-90.000000,top
"D401","1N5819HW-7-F","D_SOD-123",141.775001,-80.000000,-90.000000,top
"D501","1N5819HW-7-F","D_SOD-123",150.225000,-80.000000,-90.000000,top
"D601","1N5819HW-7-F","D_SOD-123",159.300000,-77.150000,-90.000000,top
"F101","1.1A","Fuse_1206_3216Metric",143.550000,-90.850000,90.000000,top
"J101","B4B-XH-A","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",144.200000,-97.100000,180.000000,top
"J104","Button","PinHeader_1x02_P2.54mm_Vertical",127.100000,-94.000000,0.000000,top
"J105","Symbol Light","PinHeader_1x02_P2.54mm_Vertical",127.100000,-86.000000,0.000000,top
